City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Qandala,SO,11.472,49.8728,91.13,42,53,14.41,broken clouds
80,Cross Lanes,US,38.4204,-81.7907,85.05,54,40,3.44,scattered clouds
81,New Norfolk,AU,-42.7826,147.0587,38.71,87,75,1.01,broken clouds
82,Kodiak,US,57.79,-152.4072,60.31,72,75,8.05,broken clouds
83,Thompson,CA,55.7435,-97.8558,80.76,36,0,12.66,clear sky
84,Fortuna,US,40.5982,-124.1573,66.85,74,75,3.0,broken clouds
85,Neepawa,CA,50.2289,-99.4664,81.0,60,3,8.52,clear sky
86,Ancud,CL,-41.8697,-73.8203,41.23,83,88,8.34,light rain
87,Hambantota,LK,6.1241,81.1185,79.14,94,20,10.36,few clouds
88,Zyryanka,RU,65.75,150.85,63.79,75,100,13.94,overcast clouds
89,Vaini,TO,-21.2,-175.2,78.96,89,40,13.8,scattered clouds
90,Kavaratti,IN,10.5669,72.642,81.12,81,100,21.74,overcast clouds
91,Angoche,MZ,-16.2325,39.9086,72.66,69,0,9.44,clear sky
92,Adrar,MR,20.5022,-10.0711,99.61,18,25,6.44,scattered clouds
93,Inta,RU,66.0317,60.1659,64.8,88,67,6.38,light rain
94,Yuzhno-Kurilsk,RU,44.0306,145.8556,59.4,92,97,6.6,overcast clouds
95,Conakry,GN,9.538,-13.6773,79.02,84,97,8.1,moderate rain
96,Tasiilaq,GL,65.6145,-37.6368,46.56,81,20,4.25,few clouds
97,Ilulissat,GL,69.2167,-51.1,46.42,76,75,4.61,broken clouds
98,Port Alfred,ZA,-33.5906,26.891,56.66,81,0,11.65,clear sky
99,Klaksvik,FO,62.2266,-6.589,47.32,75,80,6.67,broken clouds
100,Verkhoyansk,RU,67.5447,133.385,57.92,63,90,3.56,overcast clouds
101,Bengkulu,ID,-3.8004,102.2655,76.21,90,100,3.4,overcast clouds
102,Tiznit,MA,29.5833,-9.5,73.72,58,53,2.86,broken clouds
103,East London,ZA,-33.0153,27.9116,59.4,76,0,6.69,clear sky
104,Barrow,US,71.2906,-156.7887,42.82,61,100,13.8,overcast clouds
105,Saint-Joseph,RE,-21.3667,55.6167,66.58,73,23,10.63,few clouds
106,Chokurdakh,RU,70.6333,147.9167,46.4,64,58,11.41,broken clouds
107,Hofn,IS,64.2539,-15.2082,50.74,83,32,8.72,scattered clouds
108,Mar Del Plata,AR,-38.0023,-57.5575,55.87,67,0,14.0,clear sky
109,Clyde River,CA,70.4692,-68.5914,41.23,87,20,14.97,few clouds
110,Esperance,AU,-33.8667,121.9,59.52,44,62,23.22,broken clouds
111,Havelock,US,34.8791,-76.9013,87.78,83,89,8.01,overcast clouds
112,Cape Town,ZA,-33.9258,18.4232,58.37,91,100,14.97,drizzle
113,Luderitz,NA,-26.6481,15.1594,56.16,62,0,16.22,clear sky
114,Chitipa,MW,-9.7024,33.2697,57.79,85,75,5.79,broken clouds
115,Puerto Ayora,EC,-0.7393,-90.3518,75.16,85,43,4.0,scattered clouds
116,Waingapu,ID,-9.6567,120.2641,70.34,79,45,8.72,scattered clouds
117,Venice,US,27.0998,-82.4543,93.18,70,40,10.36,thunderstorm
118,Ribeira Grande,PT,38.5167,-28.7,73.8,73,20,4.61,few clouds
119,Namangan,UZ,40.9983,71.6726,73.85,46,1,6.91,clear sky
120,Dvinskoy,RU,62.1535,45.1175,63.95,97,100,4.32,light rain
