City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Sao Joao Da Barra,BR,73.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
134,Antofagasta,CL,61.88,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
138,Solnechnyy,RU,66.49,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
141,San Vicente,AR,53.89,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
143,Yar-Sale,RU,51.01,overcast clouds,66.8333,70.8333,Yalemd
149,Phek,IN,59.45,scattered clouds,25.6667,94.5,Prayer Centre
150,Mareeba,AU,52.45,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
151,Nakhon Thai,TH,74.17,overcast clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
153,Sao Miguel Do Araguaia,BR,78.55,clear sky,-13.275,-50.1628,Hotel Executivo Palace
154,Abatskoye,RU,64.36,scattered clouds,56.2875,70.4555,Gostinitsa Abatskaya
155,Hondo,JP,79.9,broken clouds,32.45,130.2,ホテル河丁
156,Mitsamiouli,KM,78.06,overcast clouds,-11.3847,43.2844,Foyer ADM
157,Port Hedland,AU,53.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
160,Leshukonskoye,RU,64.76,broken clouds,64.8989,45.7622,Pryalitsa Hostel
162,Tambura,SS,68.61,light rain,5.6,27.4667,Rikito Lodge
165,Terney,RU,63.19,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
166,Sitka,US,57.09,light rain,57.0531,-135.33,Westmark Sitka
168,Nikolskoye,RU,67.8,broken clouds,59.7035,30.7861,Tourist House - Sablino
169,Vaitape,PF,78.48,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
170,Kruisfontein,ZA,50.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
172,Mercedes,AR,54.03,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
173,Jining,CN,77.18,light rain,35.405,116.5814,Yunhe Star Hotel
174,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
175,Astoria,US,67.46,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
179,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
181,Bayonne,FR,76.15,clear sky,43.3333,-1.4167,Hotel Residence Bellevue
183,Baturaja,ID,73.0,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
184,Kisangani,CD,73.0,overcast clouds,0.5167,25.2,Grand Ramela Hotel
185,Arraial Do Cabo,BR,71.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
186,Mechetinskaya,RU,70.14,clear sky,46.7713,40.456,"Stoyanka Andreyev Stan, Shinomontazh, Dush, Stirka."
188,Labuan,MY,73.76,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
189,Malanje,AO,65.12,clear sky,-9.5402,16.341,Hotel Ginga
190,Faanui,PF,78.51,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
191,Marienburg,PL,67.12,clear sky,54.0359,19.0266,Hotel Centrum Malbork
192,Urusha,RU,62.2,overcast clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
193,Mahebourg,MU,65.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
194,Kouqian,CN,66.29,overcast clouds,43.6391,126.4578,Guotai Bathing Hotel
195,Quatre Cocos,MU,65.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
196,Masallatah,LY,73.36,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
199,Mezen,RU,65.41,scattered clouds,65.8522,44.24,Gostevoy Dom Everest
202,Hami,CN,76.26,overcast clouds,42.8,93.45,Laoyutang Resort
